"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_gravity","DM_nirs","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","flesh_color_25center1_8","flesh_color_25outer1_8","flesh_color_50inner1_8","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_CM4919-1_29",2,29,3,5,"check"," (Operator: lizbethpino, Time: )","CM4919-1_is_Veronica","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,29.4633004926108,NA,150,7.55208333333333,6,100,7.55208333333333,2.22509300595238,5.8,4,1,15,8,10,3,150,30,6,3,1,2,4,NA,NA,3,4840,374,8,10,1,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_COL2215_27",2,27,2,6,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,34.2258586849853,NA,160,7.55208333333333,6,100,7.55208333333333,2.58476536943899,5.8,4,1,15,10,10,3,160,30,6,3,1,2,1,NA,NA,3,4540,464,2,10,1,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_COL2215_38",2,38,5,6,"check"," (Operator: lizbethpino, Time: )","COL2215_is_Venezolana","check_released",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,3,33.8343275119074,NA,80,6.77083333333333,6,100,6.77083333333333,2.2908659252854,5.2,4,1,15,10,10,3,140,30,5,3,1,2,1,NA,NA,3,4900,491,0,10,1,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_GM11585-9_26",2,26,2,7,"test"," (Operator: lizbethpino, Time: )","GM11585-9","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,27.3295751633987,NA,180,4.6875,6,80,4.6875,1.28107383578431,3.6,4,1,3,10,10,2,180,30,5,3,1,3,8,NA,NA,3,2620,172,0,8,1,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_GM11598A-7_28",2,28,2,5,"test"," (Operator: lizbethpino, Time: )","GM11598A-7","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_GM11601-5_36",2,36,4,5,"test"," (Operator: lizbethpino, Time: )","GM11601-5","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,4,23.5709302325581,NA,210,2.60416666666667,6,60,2.60416666666667,0.613826308139534,2,3,2,8,10,10,2,230,30,4,3,1,3,8,5,NA,3,1890,84,0,6,2,1,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_GM11607-3_30",2,30,3,6,"test"," (Operator: lizbethpino, Time: )","GM11607-3","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,5,24.9864937388193,NA,90,3.25520833333333,6,70,3.25520833333333,0.813362426393857,2.5,3,2,5,10,10,3,220,30,3,3,1,3,8,6,NA,3,2360,124,1,7,2,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_GM11775-6_40",2,40,5,8,"test"," (Operator: lizbethpino, Time: )","GM11775-6","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,4,27.5972834067547,NA,90,1.171875,6,20,1.171875,0.323405664922907,0.9,2,1,0,8,10,3,150,30,2,3,1,4,5,NA,NA,2,730,49,0,2,2,3,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_GM11781-1_23",2,23,1,7,"test"," (Operator: lizbethpino, Time: )","GM11781-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,0,25.8518907563025,NA,280,2.47395833333333,6,40,2.47395833333333,0.639565005689775,1.9,3,1,6,10,10,3,280,40,2,3,1,3,8,6,NA,2,2020,116,0,4,2,2,1,NA
2022,"202241BCEPR_stom","202241BCEPR_stom",3.2,4,"2022-August-05","2023-April-28","Santo Tomas. Atlantico, Colombia",NA,"202241BCEPR_stom_rep2_GM11801-1_22",2,22,1,6,"test"," (Operator: lizbethpino, Time: )","GM11801-1","test",10.75,-74.81666667,59,"Atlantico","Colombia","Subhumid lowland tropics","stom",NA,NA,NA,NA,3,22.7554652880354,NA,100,2.08333333333333,6,90,2.08333333333333,0.474072193500738,1.6,3,1,7,10,10,2,190,30,5,3,1,3,7,NA,NA,3,1410,56,0,9,2,3,1,NA
